tournament,n_matches,model_RPS,model_Brier,baseline_RPS,baseline_Brier
Qatar 2022,64,0.22380697756753176,0.6262306101626601,0.3828125,1.53125
Euro 2024,51,0.19223127284902256,0.6004022944062258,0.3333333333333333,1.3333333333333333
